warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id
Prague_1,2020-12-05,6895.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1722.0,32575.0,Prague_1_2020-12-05
Prague_1,2020-12-06,6584.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1688.0,32507.0,Prague_1_2020-12-06
Prague_1,2020-12-07,7030.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1696.0,32552.0,Prague_1_2020-12-07
Prague_1,2020-12-08,6550.0,,0,0,0,0,0,0,0,0.0,0,0.8,0.0,1681.0,32423.0,Prague_1_2020-12-08
Prague_1,2020-12-09,6910.0,,0,0,0,0,0,0,0,0.0,0,0.5,0.0,1704.0,32410.0,Prague_1_2020-12-09
Prague_1,2020-12-10,7228.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1740.0,32432.0,Prague_1_2020-12-10
Prague_1,2020-12-11,7790.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1730.0,32471.0,Prague_1_2020-12-11
Prague_1,2020-12-12,7165.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1708.0,32476.0,Prague_1_2020-12-12
Prague_1,2020-12-13,6844.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1717.0,32458.0,Prague_1_2020-12-13
Prague_1,2020-12-14,7010.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1723.0,32505.0,Prague_1_2020-12-14
Prague_1,2020-12-15,7243.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1756.0,32401.0,Prague_1_2020-12-15
Prague_1,2020-12-16,7429.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1758.0,32406.0,Prague_1_2020-12-16
Prague_1,2020-12-17,7538.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1806.0,32456.0,Prague_1_2020-12-17
Prague_1,2020-12-18,8072.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1778.0,32470.0,Prague_1_2020-12-18
Prague_1,2020-12-19,7868.0,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1792.0,32452.0,Prague_1_2020-12-19
