ID,clicks
ID_5da86e71bf5dee4cf5047046_2024_01_22,0
ID_5da86e71bf5dee4cf5047046_2024_01_29,0
ID_5e43c29e6279884e2827d894_2024_02_21,0
ID_5e43c29e6279884e2827d894_2024_02_28,0
ID_5e4e7b480e374330ee151305_2023_12_04,0
ID_5e4e7b480e374330ee151305_2023_12_11,0
ID_5e8ad56cd4090270567b6c58_2024_02_21,0
ID_5e8ad56cd4090270567b6c58_2024_02_28,0
ID_5e8b4f12d8709943490cd775_2023_09_24,0
ID_5e8b4f12d8709943490cd775_2023_10_01,0
ID_5ebe73c4beb2212d415f6e56_2021_12_21,0
ID_5ebe73c4beb2212d415f6e56_2021_12_28,0
ID_5ee74f25f865a8154966b412_2024_02_21,0
ID_5ee74f25f865a8154966b412_2024_02_28,0
ID_5eebc5be7bcfa265595eb987_2024_02_21,0
ID_5eebc5be7bcfa265595eb987_2024_02_28,0
ID_5f2ac3529666de2cdf5ae855_2024_02_21,0
ID_5f2ac3529666de2cdf5ae855_2024_02_28,0
ID_5f3cdce8c0440e2c5902dd59_2024_02_21,0
ID_5f3cdce8c0440e2c5902dd59_2024_02_28,0
ID_5f436d32c620230547446af4_2020_10_02,0
ID_5f436d32c620230547446af4_2020_10_09,0
ID_5f439a30fcc0f575b674bb95_2024_01_13,0
ID_5f439a30fcc0f575b674bb95_2024_01_20,0
ID_5f4514323f494e4a2a5eb273_2024_02_21,0
ID_5f4514323f494e4a2a5eb273_2024_02_28,0
ID_5f9e5f1c691b48189c22aac6_2024_02_21,0
ID_5f9e5f1c691b48189c22aac6_2024_02_28,0
ID_5fa3dab4394cd16b000ec5fc_2024_02_21,0
ID_5fa3dab4394cd16b000ec5fc_2024_02_28,0
ID_5fc1263767e20c14590941ed_2023_12_16,0
ID_5fc1263767e20c14590941ed_2023_12_23,0
ID_5fd88b10425b32098417a3d4_2024_02_21,0
ID_5fd88b10425b32098417a3d4_2024_02_28,0
ID_600d8eaaf5c7660c0b1f0773_2024_02_21,0
ID_600d8eaaf5c7660c0b1f0773_2024_02_28,0
ID_6017e410f7384a78e600da18_2023_10_12,0
ID_6017e410f7384a78e600da18_2023_10_19,0
ID_602b729b3f4128452c1c2f64_2023_08_30,0
ID_602b729b3f4128452c1c2f64_2023_09_06,0
ID_602cfab1d7768d79aa6629b4_2024_02_21,0
ID_602cfab1d7768d79aa6629b4_2024_02_28,0
ID_604752a9861a02467a27c054_2024_02_21,0
ID_604752a9861a02467a27c054_2024_02_28,0
ID_60475eaac98ea30d727b7385_2024_01_17,0
ID_60475eaac98ea30d727b7385_2024_01_24,0
ID_6047b0d4c59eff5af82a57ee_2023_12_24,0
ID_6047b0d4c59eff5af82a57ee_2023_12_31,0
ID_606f34aef59df516866d0ab1_2023_10_13,0
ID_606f34aef59df516866d0ab1_2023_10_20,0
ID_6083bd8472c70c3d1869bc68_2024_02_21,0
ID_6083bd8472c70c3d1869bc68_2024_02_28,0
ID_608a6897d96a507cd36c935d_2024_02_21,0
ID_608a6897d96a507cd36c935d_2024_02_28,0
ID_608a6ad834a94a4eb8742899_2023_12_27,0
ID_608a6ad834a94a4eb8742899_2024_01_03,0
ID_60e556f789173d61d07e3294_2024_02_21,0
ID_60e556f789173d61d07e3294_2024_02_28,0
ID_60e5572b44311c0aa4513107_2024_02_21,0
ID_60e5572b44311c0aa4513107_2024_02_28,0
ID_60ed537e880be55ca17d2cb6_2024_02_10,0
ID_60ed537e880be55ca17d2cb6_2024_02_17,0
ID_60f0802ede929401f94e50b5_2023_11_30,0
ID_60f0802ede929401f94e50b5_2023_12_07,0
ID_60f12ace56214677d611d526_2024_02_21,0
ID_60f12ace56214677d611d526_2024_02_28,0
ID_60ffd129e838871b1754c836_2024_02_21,0
ID_60ffd129e838871b1754c836_2024_02_28,0
ID_6103b50cd6d4a602e4370f05_2024_02_21,0
ID_6103b50cd6d4a602e4370f05_2024_02_28,0
ID_6127aa3ad0a7b71b7b70196c_2024_02_21,0
ID_6127aa3ad0a7b71b7b70196c_2024_02_28,0
ID_6130ea7a06c5cb5b571f8c1d_2024_02_21,0
ID_6130ea7a06c5cb5b571f8c1d_2024_02_28,0
ID_61321c129a9b4c145436394d_2024_02_21,0
ID_61321c129a9b4c145436394d_2024_02_28,0
ID_613716cf75986166a63686d7_2024_02_21,0
ID_613716cf75986166a63686d7_2024_02_28,0
ID_6141dbc4d1a65a3c9165cb24_2024_02_21,0
ID_6141dbc4d1a65a3c9165cb24_2024_02_28,0
ID_6141e46e3492111e0c6d2a34_2024_02_14,0
ID_6141e46e3492111e0c6d2a34_2024_02_21,0
